Site_Code,Tree_ID,Location_deg_min_sec_North_nosym,Location_deg_min_sec_West
HB1,R-1,46 50 45.47,68 37 34.17
HB1,W-2,46 50 45.50,68 37 34.00
HB1,W-3,46 50 45.60,68 37 33.48
HB1,W-4,46 50 45.91,68 37 33.12
HB1,R-5,46 50 45.26,68 37 34.12
HB1,R-6,46 50 45.90,68 37 34.71
HB1,R-7,46 50 44.16,68 37 30.61
HB1,R-8,46 50 44.31,68 37 30.75
HB1,R-9,46 50 44.37,68 37 30.84
HB1,W-10,46 50 44.54,68 37 30.60
HB1,W-11,46 50 44.70,68 37 30.80
HB1,R-12,46 50 44.77,68 37 30.89
HB1,W-13,46 50 44.86,68 37 30.92
HB1,W-14,46 50 44.93,68 37 30.83
HB1,W-15,46 50 45.09,68 37 30.81
HB1,W-16,46 50 45.08,68 37 30.88
HB1,W-17,46 50 45.33,68 37 31.02
HB1,W-18,46 50 45.62,68 37 31.17
HB1,W-19,46 50 45.84,68 37 31.13
HB1,W-20,46 50 45.88,68 37 31.18
HB1,W-21,46 50 45.95,68 37 31.21
HB1,W-22,46 50 46.04,68 37 31.18
HB1,W-23,46 50 46.39,68 37 31.29
HB1,W-24,46 50 46.48,68 37 31.50
HB1,W-25,46 50 46.64,68 37 31.54
HB1,W-26,46 50 46.70,68 37 31.59
HB1,W-27,46 50 46.83,68 37 31.54
HB1,R-28,46 50 44.92,68 37 36.11
HB1,R-29,46 50 44.78,68 37 36.08
HB1,R-30,46 50 44.71,68 37 36.06
HB1,R-31,46 50 44.73,68 37 35.92
HB1,R-32,46 50 44.73,68 37 36.45
HB1,R-33,46 50 44.61,68 37 36.55
HB1,R-34,46 50 44.34,68 37 36.58
HB1,W-35,46 50 44.72,68 37 36.55
HB1,W-36,46 50 44.80,68 37 36.60
HB3,W-9,46 54 12.71,68 40 6.26
HB3,W-7,49 54 12.54,68 40 6.26
HB3,W-8,46 54 12.81,68 40 6.34
HB3,W-10,46 54 12.60,68 40 6.64
HB3,W-11,46 54 12.60,68 40 6.34
HB3,W-12,46 54 12.73,68 40 6.41
HB3,W-13,46 54 12.74,68 40 6.30
HB3,R-18,46 54 4.19,68 40 5.85
HB3,W-17,46 54 9.11,68 40 5.78
HB3,R-19,46 54 8.82,68 40 6.53
HB3,W-20,46 54 8.87,68 40 6.74
HB3,W-21,46 54 9.33,68 40 6.83
HB3,W-22,46 54 9.61,68 40 7.12
HB3,R-24,46 54 10.49,68 40 7.52
HB3,W-25,46 54 10.22,68 40 8.19
HB3,W-27,46 54 10.43,68 40 7.74
HB3,W-32,46 54 12.44,68 40 7.34
HB3,W-35,46 54 10.38,68 40 5.77
HB3,W-36,46 54 8.24,68 40 5.32
HB3,R-37,46 54 8.02,68 40 5.45
HB3,W-38,46 54 7.40,68 40 5.74
HB3,R-39,46 54 7.88,68 40 5.44
HB3,W-40,46 54 7.40,68 40 5.74
HB3,W-41,46 54 7.71,68 40 5.44
HB3,R-42,46 54 7.44,68 40 6.27
HB3,R-43,46 54 7.24,68 40 6.27
HB3,R-44,46 54 7.24,68 40 6.39
HB3,W-45,46 54 7.09,68 40 6.31
HB3,R-46,46 54 7.76,68 40 6.38
RR1,W-1,46 55 35.05,68 42 37.40
RR1,W-2,46 55 35.04,68 42 37.82
RR1,W-3,46 55 35.04,68 42 37.75
RR1,W-4,46 55 35.24,68 42 37.77
RR1,W-5,46 55 35.11,68 42 37.56
RR1,W-6,46 55 35.17,68 42 37.43
RR1,W-7,46 55 35.42,68 42 37.54
RR1,W-8,46 55 35.24,68 42 37.32
RR1,W-9,46 55 35.06,68 42 37.20
RR1,R-10,46 55 35.26,68 42 37.20
RR1,W-11,46 55 35.47,68 42 37.33
RR1,W-12,46 55 35.48,68 42 37.39
RR1,W-13,46 55 35.36,68 42 37.30
RR1,W-14,46 55 35.51,68 42 37.26
RR1,W-15,46 55 35.64,68 42 37.33
RR1,W-16,46 55 35.68,68 42 37.40
RR1,W-17,46 55 35.51,68 42 37.18
RR1,W-18,46 55 35.47,68 42 37.34
RR1,W-19,43 55 35.43,68 42 37.40
RR1,W-20,46 55 35.37,68 42 37.11
RR1,W-21,46 55 35.54,68 42 36.96
RR1,W-22,46 55 35.41,68 42 36.87
RR1,W-23,46 55 35.52,68 42 36.91
RR1,W-24,46 55 35.59,68 42 36.83
RR1,W-25,46 55 35.59,68 42 36.68
RR1,W-26,46 55 35.61,68 42 36.94
RR1,W-27,46 55 35.61,68 42 36.66
RR1,W-28,46 55 35.62,68 42 36.46
RR1,W-29,46 55 35.62,68 42 36.26
RR1,W-30,46 55 35.58,68 42 36.24
RR1,W-31,46 55 35.58,68 42 36.33
RR1,W-32,46 55 35.80,68 42 36.24
RR1,W-33,46 55 35.70,68 42 36.19
RR1,W-34,46 55 35.67,68 42 36.09
RR1,W-35,46 55 35.75,68 42 36.04
RR1,W-36,46 55 35.76,68 42 36.01
RR1,W-37,46 55 35.55,68 42 35.96
RR1,W-38,46 55 35.62,68 42 35.69
RR1,W-39,46 55 35.62,68 42 35.69
RR1,W-40,46 55 35.49,68 42 35.97
RR1,W-41,46 55 35.54,68 42 35.86
RR1,W-42,46 55 35.62,68 42 35.63
RR1,W-43,46 55 35.96,68 42 35.75
RR1,W-44,46 55 36.05,68 42 35.72
RR1,W-45,46 55 35.95,68 42 35.50
RR1,W-46,46 55 35.96,68 42 35.17
RR1,R-47,46 55 36.20,68 42 35.80
RR1,W-48,46 55 35.15,68 42 36.05
RR1,W-49,46 55 35.02,68 42 35.96
RR1,W-50,46 55 35.02,68 42 36.04
RR1,W-51,46 55 34.74,68 42 36.56
RR1,W-52,46 55 34.62,68 42 36.67
RR1,W-53,46 55 34.57,68 42 36.57
CL2,W-1,47 10 04.39,68 20 42.11
CL2,R-2,47 10 04.39,68 20 42.06
CL2,W-3,47 10 04.28,68 20 42.00
CL2,R-4,47 10 04.14,68 20 41.75
CL2,W-5,47 10 03.84,68 20 41.19
CL2,W-6,47 10 03.79,68 20 41.13
CL2,W-7,47 10 03.71,68 20 41.10
CL2,R-8,47 10 03.77,68 20 40.99
CL2,W-9,47 10 03.29,68 20 40.37
CL2,W-10,47 10 03.18,68 20 40.37
CL2,R-11,47 10 03.18,68 20 40.43
CL2,W-12,47 10 03.22,68 20 40.12
CL2,W-13,47 10 02.82,68 20 39.80
CL2,R-14,47 10 02.76,68 20 39.70
CL2,W-15,47 10 02.58,68 20 39.48
CL2,W-16,47 10 02.42,68 20 39.73
CL2,R-17,47 10 02.52,68 20 39.71
CL2,W-18,47 10 02.72,68 20 40.01
CL2,R-19,47 10 02.68,68 20 39.96
CL2,W-20,47 10 02.74,68 20 40.12
CL2,R-21,47 10 02.86,68 20 40.31
CL2,W-22,47 10 03.21,68 20 40.79
CL2,R-23,47 10 03.28,68 20 41.14
CL2,R-24,47 10 03.37,68 20 41.16
CL2,R-25,47 10 03.63,68 20 41.51
CL2,R-26,47 10 3.79,68 20 41.78
CL2,R-27,47 10 4.11,68 20 42.28
CL2,R-28,47 10 5.33,68 20 42.47
CL2,R-29,47 10 5.28,68 20 42.39
CL2,W-30,47 10 5.12,68 20 42.73
CL2,W-31,47 10 4.75,68 20 43.70
CL2,W-32,47 10 4.82,68 20 43.65
CL2,R-33,47 10 4.46,68 20 43.61
CL2,W-34,47 10 4.47,68 20 43.77
CL2,W-35,47 10 3.70,68 20 44.73
CL2,W-36,47 10 3.66,68 20 44.76
CL2,W-37,47 10 3.57,68 20 44.80
CL2,W-38,47 10 3.55,68 20 44.95
CL2,W-39,47 10 3.47,68 20 45.30
CL2,W-40,47 10 3.28,68 20 45.25
CL2,W-41,47 10 3.85,68 20 44.88
CL2,W-42,47 10 3.68,68 20 45.29
CL2,W-43,47 10 3.65,68 20 45.50
CL2,W-44,47 10 3.63,68 20 45.57
CL2,R-45,47 10 3.49,68 20 45.90
CL2,W-46,47 10 3.44,68 20 45.88
CL2,W-47,47 10 3.81,68 20 45.76
CL2,W-48,47 10 3.72,68 20 46.09
CL2,W-49,47 10 3.96,68 20 45.16
CL2,W-50,47 10 3.90,68 20 45.23
CL3,W-1,47 11 21.05,68 20 14.48
CL3,W-2,47 11 21.27,68 20 14.66
CL3,W-3,47 11 21.28,68 20 14.77
CL3,W-4,47 11 21.34,68 20 14.84
CL3,W-5,47 11 21.45,68 20 15.08
CL3,W-6,47 11 21.55,68 20 14.67
CL3,W-7,47 11 21.45,68 20 14.63
CL3,W-8,47 11 21.00,68 20 13.53
CL3,W-9,47 11 20.93,68 20 13.69
CL3,W-10,47 11 20.74,68 20 13.50
CL3,B-11,47 11 20.74,68 20 13.24
CL3,W-12,47 11 20.65,68 20 13.28
CL3,W-13,47 11 20.82,68 20 13.25
CL3,W-14,47 11 20.73,68 20 13.04
CL3,B-15,47 11 20.69,68 20 13.16
CL3,B-16,47 11 20.62,68 20 13.18
CL3,W-17,47 11 20.66,68 20 13.03
CL3,B-18,47 11 20.55,68 20 13.11
CL3,W-19,47 11 20.41,68 20 13.06
CL3,B-20,47 11 20.41,68 20 13.00
CL3,W-21,47 11 20.29,68 20 12.83
CL3,B-22,47 11 20.37,68 20 12.67
CL3,B-23,47 11 20.29,68 20 12.60
CL3,B-24,47 11 20.16,68 20 12.62
CL3,W-25,47 11 20.09,68 20 12.54
CL3,B-26,47 11 20.08,68 20 12.29
CL3,B-27,47 11 20.12,68 20 12.17
CL3,B-28,47 11 20.05,68 20 12.11
CL3,B-29,47 11 19.96,68 20 12.17
CL3,B-30,47 11 20.04,68 20 12.07
CL3,B-31,47 11 20.10,68 20 14.97
CL3,R-32,47 11 21.06,68 20 16.47
CL3,W-33,47 11 21.58,68 20 15.46
CL3,W-34,47 11 21.60,68 20 15.28
CL3,W-35,47 11 21.51,68 20 15.38
CL3,W-36,47 11 21.32,68 20 15.21
CL3,W-37,47 11 21.85,68 20 14.72
CL3,W-38,47 11 21.97,68 20 15.81
CL3,W-39,47 11 21.94,68 20 15.90
CL3,W-40,47 11 21.99,68 20 15.95
CL3,W-41,47 11 22.49,68 20 16.56
CL3,W-42,47 11 22.95,68 20 17.11
CL3,W-43,47 11 23.00,68 20 16.95
CL3,W-44,47 11 23.11,68 20 16.93
CL3,W-45,47 11 22.89,68 20 16.61
CL3,W-46,47 11 21.88,68 20 14.99
CL3,W-47,47 11 21.77,68 20 15.00
SR1,W-1,47 06 36.96,68 12 47.82
SR1,W-2,47 06 36.88,68 12 47.82
SR1,W-3,47 06 35.56,68 12 49.00
SR1,W-4,47 06 35.56,68 12 49.24
SR1,W-5,47 06 36.40,68 12 49.88
SR1,R-6,47 06 36.29,68 12 50.37
SR1,W-7,47 06 35.99,68 12 50.12
SR1,W-8,47 06 35.91,68 12 50.45
SR1,W-9,47 06 35.58,68 12 51.03
SR1,W-10,47 06 35.36,68 12 51.64
SR1,W-11,47 06 34.82,68 12 50.94
SR1,W-12,47 06 34.54,68 12 50.64
SR1,W-13,47 06 34.44,68 12 50.41
SR1,R-14,47 06 34.21,68 12 51.30
SR1,W-15,47 06 33.68,68 12 51.01
SR1,W-16,47 06 33.08,68 12 51.14
SR1,W-17,47 06 32.45,68 12 51.41
SR1,W-18,47 06 32.50,68 12 51.73
SR1,W-19,47 06 32.05,68 12 52.10
SR1,W-20,47 06 31.55,68 12 50.75
SR1,W-21,47 06 31.78,68 12 51.72
SR1,W-22,47 06 31.87,68 12 50.60
SR1,W-23,47 06 31.84,68 12 50.43
SR1,W-24,47 06 32.55,68 12 50.36
SR1,W-25,47 06 36.10,68 12 49.82
HB3,Asp-1,46 50 14.9,68 40 6.16
HB3,Bal-2,46 54 15.45,68 40.6 26
HB3,Bal-3,46 54 15.45,68 40 6.35
HB3,Bal-4,46 54 13.51,68 40 6.44
HB3,Bal-5,46 54 13.44,68 40 6.50
HB3,Bal-6,46 54 13.04,68 40 6.55
HB3,Bal-15,46 54 11.18,68 40 6.60
HB3,Bal-16,46 54 10.96,68 40 6.60
HB3,Bal-23,46 54 10.54,68 40 7.52
HB3,Bal-28,46 54 11.31,68 40 7.33
HB3,Bal-29,46 54 11.49,68 40 7.26
HB3,Bal-30,46 54 11.79,68 40 7.17
HB3,Bal-31,46 54 12.20,68 40 7.33
HB3,Bal-33,46 54 13.60,68 40 7.05
HB3,Bal-34,46 54 10.29,68 40 4.97
HB3,W-14,46 54 12.56,68 40 6.38
