Sampling_Date,Site_Code,Tree_ID,Genus,Species,Location_deg_min_sec_North_nosym,Location_deg_min_sec_West,dbh_cm,No_stem_cankers,Total_tree_height_m,Crown_density_percent,Crown_dieback_percent,Vigor_class,Uncompacted_live_crown_ratio,diameter_squared_x_height_cubic_cm,SLA_cm2_per_g,Area_per_needle_cm2,Fv_Fm,Amax_normalized_umol_per_m2_sec,gsw_normalized_umol_per_m2_sec,Branch_2_Fv_Fm,Branch_2_Amax,Branch_2_Rday,Branch_2_Phi,Branch_2_Theta,Branch_2_g_sw,Branch_3_Fv_Fm,Branch_3_Amax,Branch_3_Rday,Branch_3_Phi,Branch_3_Theta,Branch_3_g_sw,Fv_Fm,Average_Condensed_TANNINS_percent_DW,Average_SUGAR_percent_DW,Average_STARCH_percent_DW,
6/29/2022,HB1,R-1,Picea ,rubens,46 50 45.47,68 37 34.17,NA,0,2.25,NA,0,1,1.00,NA,38.5,0.0154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25,NA,NA,5.8,
6/29/2022,HB1,W-2,Picea ,glauca,46 50 45.50,68 37 34.00,1.3,0,1.65,NA,0,1,1.00,266,NA,1.0584,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.80,3.3,NA,6.5,
6/29/2022,HB1,W-3,Picea ,glauca,46 50 45.60,68 37 33.48,1.3,0,2.2,NA,0,1,1.00,355,50.0,0.1923,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,2.2,NA,2.7,
6/29/2022,HB1,W-4,Picea ,glauca,46 50 45.91,68 37 33.12,5.3,0,3.9,65,0,1,1.00,11154,69.2,0.1579,0.84,NA,0.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,2.3,NA,1.4,
6/29/2022,HB1,R-5,Picea ,rubens,46 50 45.26,68 37 34.12,22.2,0,16.0,20,15,2,0.34,788534,43.8,0.0345,0.81,NA,0.43,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,0.86,2.7,23.3,4.5,
6/29/2022,HB1,R-6,Picea ,rubens,46 50 45.90,68 37 34.71,15.7,0,10.4,45,10,2,NA,257258,38.9,0.0391,0.84,NA,0.26,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,0.83,2.3,26.6,5.4,
6/29/2022,HB1,R-7,Picea ,rubens,46 50 44.16,68 37 30.61,15.5,0,12.5,50,10,2,NA,300098,48.8,0.0875,0.86,NA,0.01,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,0.85,2.9,29.0,7.8,
6/29/2022,HB1,R-8,Picea ,rubens,46 50 44.31,68 37 30.75,14.7,0,11.5,15,20,2,NA,250142,39.8,0.0696,0.83,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,2.7,NA,7.6,
6/29/2022,HB1,R-9,Picea ,rubens,46 50 44.37,68 37 30.84,18.3,0,12.5,25,5,2,NA,416409,43.8,0.1489,0.91,NA,0.12,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,0.92,1.3,24.6,4.4,
6/29/2022,HB1,W-10,Picea ,glauca,46 50 44.54,68 37 30.60,14.0,0,10.3,30,5,2,NA,200812,NA,0.4183,0.85,NA,0.01,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,0.84,2.9,29.2,4.4,
6/29/2022,HB1,W-11,Picea ,glauca,46 50 44.70,68 37 30.80,6.6,0,7.4,80,0,1,1.00,32282,NA,NA,0.84,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,0.87,3.8,23.4,7.8,
6/29/2022,HB1,R-12,Picea ,rubens,46 50 44.77,68 37 30.89,1.3,0,4.3,65,0,1,1.00,686,44.8,0.0547,0.88,NA,0.01,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,0.85,3.7,16.0,7.8,
6/29/2022,HB1,W-13,Picea ,glauca,46 50 44.86,68 37 30.92,7.9,0,5.7,80,0,1,1.00,35193,55.6,0.0794,0.81,NA,0.03,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.89,1.9,18.6,4.2,
6/29/2022,HB1,W-14,Picea ,glauca,46 50 44.93,68 37 30.83,15.0,0,10.4,55,20,1,0.28,233151,21.2,0.5030,0.82,NA,0.02,NA,NA,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA,0.85,2.8,24.3,3.5,
6/29/2022,HB1,W-15,Picea ,glauca,46 50 45.09,68 37 30.81,12.4,0,7.4,85,5,1,1.00,114916,45.0,0.1607,0.82,NA,0.10,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,0.82,1.7,19.3,3.7,
6/29/2022,HB1,W-16,Picea ,glauca,46 50 45.08,68 37 30.88,12.4,0,8.3,65,5,1,NA,128738,33.3,0.0845,0.82,47.88,0.41,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.89,1.1,16.3,3.4,
6/29/2022,HB1,W-17,Picea ,glauca,46 50 45.33,68 37 31.02,15.0,0,14.1,NA,NA,2,NA,315925,NA,0.1752,0.85,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,4.1,NA,4.2,
6/29/2022,HB1,W-18,Picea ,glauca,46 50 45.62,68 37 31.17,13.5,0,8.6,40,25,2,NA,155428,50.0,0.1132,0.84,NA,NA,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,0.83,2.0,24.5,6.2,
6/29/2022,HB1,W-19,Picea ,glauca,46 50 45.84,68 37 31.13,17.8,0,12.0,60,20,1,1.00,378622,40.8,0.2226,0.77,0.59,0.00,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,0.80,3.2,18.2,4.3,
6/29/2022,HB1,W-20,Picea ,glauca,46 50 45.88,68 37 31.18,16.5,0,10.1,70,5,1,NA,275710,40.0,0.0909,0.83,NA,NA,NA,NA,NA,NA,NA,NA,0.79,NA,NA,NA,NA,NA,0.81,2.0,22.9,7.2,
6/29/2022,HB1,W-21,Picea ,glauca,46 50 45.95,68 37 31.21,19.1,0,11.3,45,25,2,NA,408612,NA,0.1914,0.86,NA,NA,NA,NA,NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,0.86,2.3,26.8,6.6,
6/29/2022,HB1,W-22,Picea ,glauca,46 50 46.04,68 37 31.18,21.8,0,11.6,35,30,1,1.00,552781,30.4,0.1148,0.82,NA,NA,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,0.87,2.6,23.5,3.3,
6/29/2022,HB1,W-23,Picea ,glauca,46 50 46.39,68 37 31.29,13.7,0,7.5,60,10,1,1.00,140854,33.3,0.1111,0.80,105.77,0.41,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,0.82,3.1,23.5,3.0,
6/29/2022,HB1,W-24,Picea ,glauca,46 50 46.48,68 37 31.50,15.0,0,10.8,65,15,1,1.00,243582,46.7,0.1346,0.85,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA,0.78,3.2,25.0,2.4,
6/29/2022,HB1,W-25,Picea ,glauca,46 50 46.64,68 37 31.54,NA,0,11.8,70,5,1,1.00,NA,35.3,0.1304,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,2.7,26.8,2.7,
6/29/2022,HB1,W-26,Picea ,glauca,46 50 46.70,68 37 31.59,19.6,0,9.8,60,10,1,1.00,372972,38.1,0.1212,0.85,88.38,1.21,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.91,2.9,24.6,8.1,
6/29/2022,HB1,W-27,Picea ,glauca,46 50 46.83,68 37 31.54,1.3,0,8.8,75,5,1,1.00,1417,37.0,0.1538,0.83,43.81,0.23,NA,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,0.87,2.4,26.6,6.9,
6/29/2022,HB1,R-28,Picea ,rubens,46 50 44.92,68 37 36.11,1.3,0,2.1,NA,NA,1,1.00,339,36.8,0.0435,0.85,27.46,0.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2.9,22.3,7.4,
6/29/2022,HB1,R-29,Picea ,rubens,46 50 44.78,68 37 36.08,1.3,0,1.9,NA,NA,1,1.00,306,42.9,0.0690,0.91,16.14,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,4.0,24.7,13.0,
6/29/2022,HB1,R-30,Picea ,rubens,46 50 44.71,68 37 36.06,1.3,0,1.8,NA,NA,1,1.00,290,NA,0.1394,0.85,1.49,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,2.2,NA,7.6,
6/29/2022,HB1,R-31,Picea ,rubens,46 50 44.73,68 37 35.92,1.3,0,1.9,NA,NA,1,1.00,306,50.0,0.1034,0.82,3.66,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,1.1,NA,3.9,
6/29/2022,HB1,R-32,Picea ,rubens,46 50 44.73,68 37 36.45,1.3,0,6.2,45,10,1,1.00,1001,41.2,0.1029,0.89,29.98,0.36,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA,0.87,2.9,28.1,12.7,
6/29/2022,HB1,R-33,Picea ,rubens,46 50 44.61,68 37 36.55,1.3,0,3.6,40,15,1,1.00,581,40.0,0.1404,0.76,21.47,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,4.1,NA,6.7,
6/29/2022,HB1,R-34,Picea ,rubens,46 50 44.34,68 37 36.58,1.3,0,3.4,30,40,2,1.00,554,46.6,0.1733,0.77,0.52,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,3.4,NA,4.9,
6/29/2022,HB1,W-35,Picea ,glauca,46 50 44.72,68 37 36.55,1.3,0,0.7,65,15,1,1.00,109,47.1,0.1311,0.82,14.99,0.05,NA,NA,NA,NA,NA,NA,0.81,NA,NA,NA,NA,NA,0.82,2.8,26.9,7.3,
6/29/2022,HB1,W-36,Picea ,glauca,46 50 44.80,68 37 36.60,7.9,0,0.3,45,20,1,1.00,1965,34.8,0.1569,0.82,39.20,0.26,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,0.86,2.1,26.2,8.2,
7/1/2022,HB3,W-9,Picea ,glauca,46 54 12.71,68 40 6.26,18.8,0,7.1,45,30,2,0.14,251959,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.96,NA,22.8,2.3,
7/1/2022,HB3,W-7,Picea ,glauca,49 54 12.54,68 40 6.26,19.8,0,9.9,65,10,1,1.00,389838,49.5,0.1877,0.95,15.74,0.12,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,0.96,4.1,20.7,3.3,
7/1/2022,HB3,W-8,Picea ,glauca,46 54 12.81,68 40 6.34,14.7,0,9.7,55,5,1,1.00,211067,55.6,0.1575,0.95,11.30,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,4.5,20.8,4.1,
7/1/2022,HB3,W-10,Picea ,glauca,46 54 12.60,68 40 6.64,16.8,0,9.5,75,5,1,1.00,267286,42.7,0.2420,0.96,11.28,0.08,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,0.96,4.8,23.4,4.0,
7/1/2022,HB3,W-11,Picea ,glauca,46 54 12.60,68 40 6.34,20.1,0,11.6,80,0,1,1.00,468515,40.1,0.2523,0.94,5.39,0.03,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,0.94,4.4,25.0,6.9,
7/1/2022,HB3,W-12,Picea ,glauca,46 54 12.73,68 40 6.41,11.9,0,7.2,60,10,2,1.00,103311,54.4,0.1814,0.95,5.17,0.02,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.96,3.8,23.2,2.4,
7/1/2022,HB3,W-13,Picea ,glauca,46 54 12.74,68 40 6.30,15.5,0,8.2,40,20,1,0.79,196861,45.8,0.1250,0.92,9.87,0.09,NA,NA,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA,0.92,2.8,21.4,6.2,
7/1/2022,HB3,R-18,Picea ,rubens,46 54 4.19,68 40 5.85,5.8,0,3.3,45,40,2,1.00,11125,79.7,0.1253,0.96,4.24,0.02,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.96,4.9,18.0,2.7,
7/1/2022,HB3,W-17,Picea ,glauca,46 54 9.11,68 40 5.78,14.2,0,9.3,60,25,2,0.62,187369,48.9,0.1100,NA,9.75,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,1.8,
7/1/2022,HB3,R-19,Picea ,rubens,46 54 8.82,68 40 6.53,8.1,0,3.6,43,0,1,1.00,23911,54.8,0.1723,0.96,6.35,0.06,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.96,NA,17.1,NA,
7/1/2022,HB3,W-20,Picea ,glauca,46 54 8.87,68 40 6.74,20.8,0,10.8,90,0,1,1.00,469688,42.9,0.1875,0.93,10.77,0.06,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.95,4.2,27.3,6.8,
7/1/2022,HB3,W-21,Picea ,glauca,46 54 9.33,68 40 6.83,18.3,0,11.0,25,35,2,0.44,368315,71.2,0.1498,0.91,4.84,0.03,NA,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,0.92,NA,20.8,5.5,
7/1/2022,HB3,W-22,Picea ,glauca,46 54 9.61,68 40 7.12,19.6,0,6.8,90,5,1,1.00,259756,26.5,0.1538,0.95,26.21,0.29,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,0.95,3.7,21.4,3.6,
7/1/2022,HB3,R-24,Picea ,rubens,46 54 10.49,68 40 7.52,9.1,0,5.7,80,5,1,1.00,47857,64.4,0.1543,0.89,11.31,0.27,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,0.93,3.9,14.1,2.8,
7/1/2022,HB3,W-25,Picea ,glauca,46 54 10.22,68 40 8.19,16.0,0,11.5,35,10,1,0.87,294548,45.7,0.1373,0.95,14.18,0.13,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,0.95,7.9,21.9,2.5,
7/1/2022,HB3,R-26,Picea ,rubens,46 54 10.53,NA,10.2,0,4.9,85,0,1,1.00,50700,53.4,0.1696,0.95,15.42,0.26,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.96,4.6,16.6,2.3,
7/1/2022,HB3,W-27,Picea ,glauca,46 54 10.43,68 40 7.74,23.4,0,8.8,80,25,1,1.00,481677,43.9,0.1082,0.93,22.80,0.22,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,0.95,5.1,21.7,3.8,
7/1/2022,HB3,W-32,Picea ,glauca,46 54 12.44,68 40 7.34,9.9,0,9.1,65,0,1,0.83,89159,49.1,0.1586,0.88,4.06,0.05,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,0.92,4.7,22.5,2.7,
7/1/2022,HB3,W-35,Picea ,glauca,46 54 10.38,68 40 5.77,11.9,0,11.5,25,25,2,0.33,164220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/1/2022,HB3,W-36,Picea ,glauca,46 54 8.24,68 40 5.32,15.0,0,NA,NA,NA,NA,NA,NA,45.1,0.1122,0.95,1.66,NA,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,0.95,NA,23.2,2.7,
7/1/2022,HB3,R-37,Picea ,rubens,46 54 8.02,68 40 5.45,5.3,0,3.7,50,0,1,1.00,10584,67.2,0.1687,0.94,7.60,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94,NA,12.6,9.0,
7/1/2022,HB3,W-38,Picea ,glauca,46 54 7.40,68 40 5.74,3.0,0,2.3,50,0,1,1.00,2137,44.4,0.1240,0.95,17.71,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,20.0,2.6,
7/1/2022,HB3,R-39,Picea ,rubens,46 54 7.88,68 40 5.44,4.6,0,2.8,60,5,1,1.00,5853,71.1,0.1350,0.96,10.32,0.07,NA,NA,NA,NA,NA,NA,0.94,NA,NA,NA,NA,NA,0.95,3.6,20.3,3.9,
7/1/2022,HB3,W-40,Picea ,glauca,46 54 7.40,68 40 5.74,20.8,0,7.6,80,0,1,1.00,328551,47.6,0.1746,0.97,6.14,0.09,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,NA,0.91,4.2,21.9,2.6,
7/1/2022,HB3,W-41,Picea ,glauca,46 54 7.71,68 40 5.44,19.8,0,8.2,70,0,1,1.00,321630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/1/2022,HB3,R-42,Picea ,rubens,46 54 7.44,68 40 6.27,3.8,0,4.9,50,0,1,1.00,7181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/1/2022,HB3,R-43,Picea ,rubens,46 54 7.24,68 40 6.27,14.5,0,6.2,45,10,1,1.00,130407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/1/2022,HB3,R-44,Picea ,rubens,46 54 7.24,68 40 6.39,12.4,0,8.4,30,20,2,0.94,129556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/1/2022,HB3,W-45,Picea ,glauca,46 54 7.09,68 40 6.31,19.3,0,9.5,55,10,1,0.84,354491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/1/2022,HB3,R-46,Picea ,rubens,46 54 7.76,68 40 6.38,15.7,0,7.4,40,15,1,0.86,182738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
7/5/2022,RR1,W-1,Picea ,glauca,46 55 35.05,68 42 37.40,14.2,0,9.4,90,0,1,1.00,190210,33.3,0.1469,0.82,9.48,0.05,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,0.89,2.4,22.7,3.7,
7/5/2022,RR1,W-2,Picea ,glauca,46 55 35.04,68 42 37.82,11.9,0,6.8,80,5,1,1.00,96563,37.5,0.1500,0.84,11.66,0.05,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,0.83,2.5,22.3,3.6,
7/5/2022,RR1,W-3,Picea ,glauca,46 55 35.04,68 42 37.75,11.2,0,6.0,70,15,1,1.00,74883,35.1,0.1259,0.91,10.90,0.07,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,0.93,3.2,24.2,3.8,
7/5/2022,RR1,W-4,Picea ,glauca,46 55 35.24,68 42 37.77,13.0,0,8.8,50,25,1,1.00,148064,35.7,0.1712,0.96,NA,0.04,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,0.96,3.2,28.8,5.1,
7/5/2022,RR1,W-5,Picea ,glauca,46 55 35.11,68 42 37.56,9.4,0,7.1,45,5,1,0.96,62504,37.8,0.1772,0.86,14.48,0.07,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,0.89,3.2,26.1,3.3,
7/5/2022,RR1,W-6,Picea ,glauca,46 55 35.17,68 42 37.43,11.7,0,8.0,40,10,1,1.11,109100,35.1,0.1695,0.97,12.67,0.06,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.97,3.3,26.6,3.4,
7/5/2022,RR1,W-7,Picea ,glauca,46 55 35.42,68 42 37.54,13.0,0,6.0,55,10,1,1.00,100352,33.3,0.1087,0.97,9.77,0.03,NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,0.97,4.0,22.9,2.8,
7/5/2022,RR1,W-8,Picea ,glauca,46 55 35.24,68 42 37.32,8.1,0,5.6,60,5,1,1.00,37108,33.1,0.1698,0.98,11.65,0.08,NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,0.98,3.9,26.4,5.2,
7/5/2022,RR1,W-9,Picea ,glauca,46 55 35.06,68 42 37.20,7.9,0,7.0,45,0,2,0.69,43472,32.6,0.1908,0.97,6.57,0.03,NA,NA,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA,0.90,4.6,32.7,3.9,
7/5/2022,RR1,R-10,Picea ,rubens,46 55 35.26,68 42 37.20,5.8,0,4.7,60,10,2,0.72,16021,43.1,0.1157,0.95,5.18,0.07,NA,NA,NA,NA,NA,NA,0.97,NA,NA,NA,NA,NA,0.96,4.1,22.1,5.2,
7/5/2022,RR1,W-11,Picea ,glauca,46 55 35.47,68 42 37.33,8.1,0,5.9,65,20,1,1.00,39302,37.5,0.1368,0.93,11.48,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93,3.6,28.8,6.8,
